Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
64,Brian Hill (FA),78,323,4.1,27,2,2,10,14,69,6.9,1,0,12,67.2,5.6,26.91666667,5.75,6.5,1.166666667,0.1666666667,0.08333333333,0.25
65,Dion Lewis (FA),54,209,3.9,17,0,0,25,32,164,6.6,1,1,16,66.3,4.14375,13.0625,10.25,3.375,2,0,0.0625,0.0625
66,Ty Johnson (NYJ),63,273,4.3,40,1,0,24,31,109,4.5,0,1,16,60.2,3.7625,17.0625,6.8125,3.9375,1.9375,0,0,0
67,Malcolm Brown (MIA),69,255,3.7,17,0,5,2,6,16,8,0,0,14,59.1,4.221428571,18.21428571,1.142857143,4.928571429,0.4285714286,0.3571428571,0,0.3571428571
68,Benny Snell Jr. (PIT),108,426,3.9,23,3,2,3,4,23,7.7,0,1,13,57.9,4.453846154,32.76923077,1.769230769,8.307692308,0.3076923077,0.1538461538,0,0.1538461538
69,Derrius Guice (FA),42,245,5.8,60,3,2,7,9,79,11.3,1,0,5,57.4,11.48,49,15.8,8.4,1.8,0.4,0.2,0.6
70,Jordan Wilkins (IND),51,307,6,55,2,2,7,11,43,6.1,0,0,14,54,3.857142857,21.92857143,3.071428571,3.642857143,0.7857142857,0.1428571429,0,0.1428571429
71,Kalen Ballage (PIT),74,135,1.8,8,0,3,14,24,63,4.5,0,0,12,51.8,4.316666667,11.25,5.25,6.166666667,2,0.25,0,0.25
72,Ryquell Armstead (NO),35,108,3.1,16,0,0,14,24,144,10.3,2,0,16,51.2,3.2,6.75,9,2.1875,1.5,0,0.125,0.125
73,Brandon Bolden (NE),15,68,4.5,21,1,3,9,11,111,12.3,1,0,15,50.9,3.393333333,4.533333333,7.4,1,0.7333333333,0.2,0.06666666667,0.2666666667
74,Kyle Juszczyk (SF),3,7,2.3,6,0,0,20,24,239,12,1,0,12,50.6,4.216666667,0.5833333333,19.91666667,0.25,2,0,0.08333333333,0.08333333333
75,Mike Boone (DEN),49,273,5.6,59,3,3,3,4,17,5.7,0,0,16,50,3.125,17.0625,1.0625,3.0625,0.25,0.1875,0,0.1875
76,Justice Hill (FA),58,225,3.9,18,0,2,8,15,70,8.8,0,0,16,49.5,3.09375,14.0625,4.375,3.625,0.9375,0.125,0,0.125
77,Wayne Gallman Jr. (ATL),29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,48.2,4.82,11,10.2,2.9,1.6,0.2,0.1,0.3
